	R [arcmin]	v [km/s]
       24.183759       228.58487
       9.1714769      -57.209614
       20.477959       34.127224
       32.102124       125.11442
       48.105173       110.08084
       6.2021188      -35.860229
       29.594409       170.57918
       20.387548       109.42173
       15.181818       256.72946
       25.952687       114.92516
       30.209303       66.776733
       24.246155       37.409966
       28.267578       138.19183
       31.089196       128.77069
       39.760376       203.26291
       23.055633       7.0982237
       33.051358       61.032978
       26.601474       7.0771503
       13.846774       91.647293
       21.771407       189.16191
       32.098188       91.482521
       18.762772       44.709705
       22.382114       79.677208
       27.368076       27.448435
       18.598682      -45.019497
       21.145144       270.71393
       35.090694       359.86392
       16.352981       87.798698
       31.195235       116.39333
       7.6249044       322.37592
       24.758491       180.65492
       28.999581       79.242973
       12.022387       240.11420
       30.668935       436.28156
       9.4599745       197.46156
       37.230729      -91.800980
       23.244829       139.56696
       23.236197       196.31602
       26.480586       17.824753
       36.367657      -22.183445
       9.3723409       95.137428
       34.191005       220.82936
       10.583525       80.432762
       16.029719      -35.393616
       26.492702       228.20576
       9.7990797       63.821930
       10.325026       154.16956
       17.432563       160.69646
       10.842320      -22.752560
       28.347566       49.818039
       37.186343       251.65063
       11.195114       144.69176
       24.068731       135.39743
       32.765280       141.55414
       14.167893      -178.03418
       33.796177       163.54924
       30.208535       170.26297
       24.064876       43.497494
       35.053039       240.28749
       18.977259       93.106392
       24.650434       123.98225
       29.259944      -31.175734
       21.578781     -0.66627592
       12.775884       94.013008
       32.977330       4.4323144
       43.620619       119.59679
       31.827966       49.625271
       15.093457       49.530010
       29.174540       54.895782
       24.944287       38.519474
       14.219839       120.53635
       20.122772       35.641640
       35.020561       190.79362
       31.718374       104.55091
       26.710292       99.206665
       23.384782      -26.527306
       25.510057       162.86819
       19.671346       49.102283
       19.261203      -20.462214
       39.194170       132.21082
       18.966815      -47.600552
       34.878240       163.67238
       17.447133       235.48392
       18.143061      -16.057142
       24.608676       108.01031
       21.535913       284.43698
       31.194682       30.329548
       18.620157       79.960312
       16.719876     -0.69912738
       24.305458       182.02559
       17.755329       274.51947
       26.445330       69.266121
       18.278470       24.784113
       20.494376       184.76428
       17.781522       43.742901
       20.570164       21.808302
       46.107559      -1.2684648
       23.231145       223.39633
       34.523200       70.406609
       20.582831       63.915165
       30.375852       81.169724
       46.759947       69.258980
       28.963430       107.84026
       40.849619       215.83730
       21.663377       2.7172930
       24.209939       176.39993
       19.760910       46.181801
       36.670239       87.890656
       27.357716       120.68179
       29.772630       169.75282
       26.136107       60.939655
       43.600761       75.472206
       20.614701       109.25797
       46.626910       132.94856
       20.996571       46.818043
       23.508675       181.65404
       20.853160       86.990013
       21.078858       165.28720
       35.789315      -73.877563
       21.164801       274.04370
       33.583304       259.17862
       23.608588       122.03055
       22.379650       195.41045
       21.520424       214.35107
       27.126814       12.116755
       22.927951       175.83174
       22.404529       100.83456
       39.759026       50.243984
       25.428170       147.86757
       23.260684       160.47304
       26.204558       224.50304
       27.811186       3.2577915
       23.805112       94.921692
       23.770102       89.168274
       30.192342       228.62206
       24.202584       103.36682
       24.009584       110.12014
       29.986688       204.21112
       37.711395      -69.615425
       34.104619      -6.9107981
       33.382910       94.458771
       31.953600       90.493332
       28.051308      -13.026156
       37.807981       234.45160
       30.135190       181.77071
       27.933335       89.849701
       25.569536       97.191994
       25.344990       348.86530
       25.398550       152.16623
       29.214697      -11.484845
       27.633577       130.53815
       26.376163       117.53265
       27.150585       181.80182
       26.005538       28.910217
       27.896899       109.02029
       35.123273       217.96216
       26.693954       63.946049
       37.120639       103.75511
       32.139884       95.435562
       27.702747       177.80489
       29.181369       344.35834
       35.989739       42.918934
       31.432324       57.866634
       45.381776       136.81213
       40.284688       168.31261
       29.211029       4.1715460
       33.315305      -65.723610
       30.224702       107.17565
       29.865983       179.80121
       43.794870       200.31099
       30.237504       73.874924
       32.007796       251.99834
       38.987837       19.758381
       30.282471       117.18575
       37.587071       47.993717
       30.568491       88.424454
       35.086015      -76.967087
       45.779882       38.581234
       33.270294       287.74448
       33.453405       74.153786
       36.844667       59.668243
       41.580118       237.54814
       45.198928       184.40697
       34.187361       178.71243
       45.258268       175.03062
       44.497591       58.511883
       42.661030       191.27551
